n,regime,epsilon,minimax,renyi_converse,fano_converse
271,constant,0.01,0.23031493891602273,0.006517965722536017,0.0
272,constant,0.01,0.22861416454394753,0.0064032610974556195,0.0
273,constant,0.01,0.22692543070941087,0.006290584088490669,0.0
274,constant,0.01,0.22524954574239714,0.0061798986471823,0.0
275,constant,0.01,0.2235797248797395,0.006071169370886053,0.0
276,constant,0.01,0.22192573357158335,0.005964361491057535,0.0
277,constant,0.01,0.22027624397276996,0.005859440861811614,0.0
278,constant,0.01,0.21863570151509343,0.005756373948606685,0.0
279,constant,0.01,0.21701413245576395,0.005655127817240288,0.0
280,constant,0.01,0.21539339575533276,0.005555670122954544,0.0
281,constant,0.01,0.21378434895571455,0.005457969099806435,0.0
282,constant,0.01,0.2121899052113886,0.005361993550160235,0.0
283,constant,0.01,0.2105993148710415,0.005267712834484005,0.0
284,constant,0.01,0.2090228027376486,0.005175096861221198,0.0
285,constant,0.01,0.2074525910994113,0.005084116076898082,0.0
286,constant,0.01,0.20589326206835917,0.004994741456440597,0.0
287,constant,0.01,0.20434823725427412,0.004906944493583857,0.0
288,constant,0.01,0.20280455748270967,0.004820697191555498,0.0
289,constant,0.01,0.20127450809868316,0.004735972053866092,0.0
290,constant,0.01,0.1997588258538623,0.004652742075281667,0.0
291,constant,0.01,0.1982439747255471,0.004570980732960081,0.0
292,constant,0.01,0.19674386044176692,0.004490661977780425,0.0
293,constant,0.01,0.19525363290224587,0.004411760225776962,0.0
294,constant,0.01,0.19376887554718894,0.004334250349759232,0.0
295,constant,0.01,0.19229888711945597,0.0042581076711028796,0.0
296,constant,0.01,0.1908316443935266,0.0041833079516396515,0.0
297,constant,0.01,0.18937838179169308,0.0041098273857560885,0.0
298,constant,0.01,0.1879371426842834,0.004037642592594386,0.0
299,constant,0.01,0.18649571599288897,0.003966730608391546,0.0
300,constant,0.01,0.18507157617330072,0.003897068878998322,0.0
1,linear,1.0,0.0,0.0,0.0
2,linear,0.5,0.396994783288868,0.37554920470332637,0.0
3,linear,0.3333333333333333,0.5400037668641167,0.4908718428827162,0.042255079453065725
4,linear,0.25,0.6253542760004445,0.5673564101058227,0.2284559839327912
5,linear,0.2,0.6632255709470057,0.613475249446299,0.32461893053503255
6,linear,0.16666666666666666,0.6967437017886704,0.6439630022413747,0.3836334077137876
7,linear,0.14285714285714285,0.7186235200858947,0.6653219661923824,0.4235204238506681
8,linear,0.125,0.7304513320845086,0.6808706062455008,0.45217299220670937
9,linear,0.1111111111111111,0.747800781663298,0.692482907128583,0.47362184580643596
10,linear,0.1,0.7520390409523334,0.7012990190416061,0.4901522637984651
11,linear,0.09090909090909091,0.7648039769089541,0.7080534594153668,0.5031623814865274
12,linear,0.08333333333333333,0.7665700778438078,0.7132413651652421,0.51355864551595
13,linear,0.07692307692307693,0.7754631986435334,0.7172090231237163,0.5219562005659886
14,linear,0.07142857142857142,0.776006776481205,0.7202061202932717,0.5287882146594081
15,linear,0.06666666666666667,0.782406456881898,0.722417379103197,0.5343691578913865
16,linear,0.0625,0.7821454058785777,0.7239824949057325,0.5389332485323048
17,linear,0.058823529411764705,0.7869739816956319,0.7250091370587464,0.5426587772696883
18,linear,0.05555555555555555,0.786362055734274,0.7255816794497737,0.5456840348835429
19,linear,0.05263157894736842,0.7899106122629268,0.7257672149902379,0.5481180544559769
20,linear,0.05,0.788874324704401,0.7256197930800621,0.550048044663983
21,linear,0.047619047619047616,0.791656855626963,0.7251834650109228,0.55154465050446
22,linear,0.045454545454545456,0.7902481906959546,0.7244945117915091,0.5526657513029551
23,linear,0.043478260869565216,0.79248531429714,0.7235831000140378,0.55345925176384
24,linear,0.041666666666666664,0.7908162737345857,0.7224745303978306,0.5539651659004783
25,linear,0.04,0.7925701429903392,0.7211901915442706,0.5542171954568049
26,linear,0.038461538461538464,0.7908373151427008,0.7197482972000375,0.5542439410725948
27,linear,0.037037037037037035,0.7920422408983513,0.7181644623905443,0.55406984269743
28,linear,0.03571428571428571,0.790197849576294,0.7164521581503829,0.5537159177153352
29,linear,0.034482758620689655,0.7910525051943942,0.714623073746596,0.5532003460706194
30,linear,0.03333333333333333,0.7892335201835659,0.7126874076761305,0.5525389383666129
31,linear,0.03225806451612903,0.7896202699753009,0.7106541032926259,0.5517455135184548
32,linear,0.03125,0.7880004705041789,0.7085310410017145,0.5508322058294804
33,linear,0.030303030303030304,0.7878255608181113,0.706325196105018,0.549809716503123
34,linear,0.029411764705882353,0.7864224265415687,0.7040427692627632,0.5486875210451598
35,linear,0.02857142857142857,0.7857919177765134,0.7016892949715848,0.547474041377976
36,linear,0.027777777777777776,0.7846091836688688,0.6992697322698024,0.5461767895194809
37,linear,0.02702702702702703,0.7835673214936456,0.6967885409831807,0.544802488192901
38,linear,0.02631578947368421,0.7827425014205,0.6942497461354984,0.5433571726015913
39,linear,0.02564102564102564,0.7812221304773588,0.6916569926168005,0.5418462767336167
40,linear,0.025,0.7805901861340014,0.6890135917889523,0.5402747068879199
