n,regime,epsilon,minimax,legacy_converse,continuous_converse,absolute_improvement,legacy_selected_branch,legacy_selected_order,continuous_selected_branch,continuous_selected_order,legacy_reverse,continuous_reverse,reverse_absolute_improvement,legacy_reverse_order,continuous_reverse_order,continuous_reverse_a,continuous_reverse_objective,continuous_reverse_endpoint,continuous_reverse_adjacent_mesh_best,legacy_forward,continuous_forward,forward_absolute_improvement,legacy_forward_order,continuous_forward_order,continuous_forward_a,continuous_forward_log_bound,continuous_forward_endpoint,continuous_forward_adjacent_mesh_best,minimax_minus_continuous_converse
21,constant,0.01,0.9282840867019291,0.9065296450219408,0.9065386246434155,8.979621474725086e-06,reverse,3.571428571428571,reverse,3.6043160133591883,0.9065296450219408,0.9065386246434155,8.979621474725086e-06,3.571428571428571,3.6043160133591883,0.7225548491604071,2.370207025826433,finite,0.9065296450219409,0.6162745855440142,0.6163023821955631,2.779665154895028e-05,1.1764705882352942,1.1716239999456686,0.14648385484901918,-0.48401755570328053,finite,0.6162745855440142,0.021745462058513576
21,linear,0.047619047619047616,0.791656855626963,0.7251630248367269,0.7251834650109228,2.0440174195890393e-05,reverse,2.857142857142857,reverse,2.8818113597264765,0.7251630248367269,0.7251834650109228,2.0440174195890393e-05,2.857142857142857,2.8818113597264765,0.6529960239677473,1.2916515494504135,finite,0.7251630248367269,0.5152285123643712,0.5152530366818688,2.4524317497665038e-05,1.3888888888888888,1.3813978500194413,0.27609558681018187,-0.6630971656202628,finite,0.5152285123643712,0.06647339061604018
22,constant,0.01,0.9261907796519346,0.9022245571497934,0.9022568815659578,3.232441616440873e-05,reverse,3.571428571428571,reverse,3.512108560861098,0.9022245571497934,0.9022568815659578,3.232441616440873e-05,3.571428571428571,3.512108560861098,0.7152707603791096,2.325412482246576,finite,0.9022245571497934,0.6042194788527578,0.6042506443005248,3.116544776693431e-05,1.1627906976744187,1.1676520188101203,0.14358046413602205,-0.5037661931177316,finite,0.6042194788527578,0.02393389808597679
22,linear,0.045454545454545456,0.7902481906959546,0.724476854586247,0.7244945117915091,1.765720526214487e-05,reverse,2.857142857142857,reverse,2.834806931582035,0.724476854586247,0.7244945117915091,1.765720526214487e-05,2.857142857142857,2.834806931582035,0.647242290521025,1.289147729685623,finite,0.724476854586247,0.5077405385115491,0.5077593005207234,1.876200917427795e-05,1.36986301369863,1.3635817753366763,0.26663730911694383,-0.6777477615634057,finite,0.5077405385115491,0.0657536789044455
23,constant,0.01,0.9225092161141607,0.897927755650776,0.8979325525842787,4.796933502748679e-06,reverse,3.4482758620689653,reverse,3.426943462975957,0.897927755650776,0.8979325525842787,4.796933502748679e-06,3.4482758620689653,3.426943462975957,0.7081947774149737,2.282121435053033,finite,0.8979277556507761,0.5924697375122978,0.5924715334467937,1.795934495896212e-06,1.1627906976744187,1.1639431000528466,0.14085147293317263,-0.5234524519425781,finite,0.5924697375122978,0.02457666352988197
23,linear,0.043478260869565216,0.79248531429714,0.7235769407892279,0.7235831000140378,6.1592248099540114e-06,reverse,2.7777777777777777,reverse,2.790442414295356,0.7235769407892279,0.7235831000140378,6.1592248099540114e-06,2.7777777777777777,2.790442414295356,0.6416338875595393,1.2858450457379584,finite,0.7235769407892279,0.5002631097655277,0.5002713514704054,8.24170487767617e-06,1.3513513513513513,1.3473579711022459,0.2578067436808048,-0.6926046248291172,finite,0.5002631097655277,0.06890221428310217
24,constant,0.01,0.9204511138474951,0.8935632499782454,0.8935658189558418,2.5689775963178008e-06,reverse,3.333333333333333,reverse,3.3479508215424585,0.8935632499782454,0.8935658189558418,2.5689775963178008e-06,3.333333333333333,3.3479508215424585,0.701309830011397,2.2402285032494373,finite,0.8935632499782454,0.5809484833795487,0.580955940068203,7.456688654206012e-06,1.1627906976744187,1.1604695197753072,0.1382798229861114,-0.5430803596560714,finite,0.5809484833795487,0.026885294891653366
24,linear,0.041666666666666664,0.7908162737345857,0.7224398797425089,0.7224745303978306,3.4650655321710744e-05,reverse,2.7777777777777777,reverse,2.7484712628903925,0.7224398797425089,0.7224745303978306,3.4650655321710744e-05,2.7777777777777777,2.7484712628903925,0.6361613768708778,1.28184256765723,finite,0.7224398797425089,0.49280476162638165,0.4928051312836784,3.696572967726297e-07,1.3333333333333333,1.3325217039101998,0.2495431803732998,-0.7076414543095725,finite,0.49280476162638165,0.06834174333675513
25,constant,0.01,0.9168327927070004,0.8891247493467342,0.8891569625898083,3.2213243074008524e-05,reverse,3.2258064516129026,reverse,3.274405965209803,0.8891247493467342,0.8891569625898083,3.2213243074008524e-05,3.2258064516129026,3.274405965209803,0.6946010938701895,2.1996401558064265,finite,0.8891247493467344,0.56965127325848,0.5696953537473772,4.408048889725791e-05,1.1627906976744187,1.157207372219448,0.13585064871988722,-0.562653528141863,finite,0.56965127325848,0.0276758301171921
25,linear,0.04,0.7925701429903392,0.7211886343442111,0.7211901915442706,1.5572000594543667e-06,reverse,2.7027027027027026,reverse,2.708678640780384,0.7211886343442111,0.7211901915442706,1.5572000594543667e-06,2.7027027027027026,2.708678640780384,0.6308163010020653,1.2772254197399648,finite,0.7211886343442111,0.48536776732527975,0.4853736662950641,5.898969784368102e-06,1.3157894736842106,1.3189021110800923,0.24179361637303987,-0.722836238716591,finite,0.48536776732527975,0.07137995144606868
