n,regime,epsilon,minimax,achievability,converse,converse_reverse,converse_forward,achievability_lambda,converse_reverse_lambda,converse_forward_lambda,lp_objective,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,lp_iterations,active_null_constraints,active_alternative_constraints,achievability_type_i,achievability_worst_s,achievability_worst_t,achievability_eta,achievability_threshold,projection_s,projection_t,projection_D,achievability_minus_minimax,minimax_minus_converse,type_count
25,constant,0.01,0.9168327927070004,0.9214149217329827,0.8891247493467342,0.8891247493467342,0.56965127325848,0.5,3.2258064516129026,1.1627906976744187,0.9168327927070004,0.009999999999999615,1.0,0.9168327934220442,0.4132403504163231,8.0,17.0,24.0,0.01,1.0,0.04113280773162843,0.18482743308661467,1.69132891623681,1.0,0.4434499058409389,0.008604631968951004,0.004582129025982318,0.02770804336026611,351
25,linear,0.04,0.7925701429903392,0.7973899973131089,0.7211886343442111,0.7211886343442111,0.48536776732527975,0.001,2.7027027027027026,1.3157894736842106,0.7925701429903392,0.039999999999998564,1.0,0.792570143932939,0.4825701778053843,9.0,17.0,25.0,0.04,1.0,0.7979099452815717,0.21772302486180883,1.1880484325757112,1.0,0.44678324054271057,1.697483024924677e-05,0.004819854322769657,0.07138150864612813,351
26,constant,0.01,0.9146165437503456,0.9180864200114968,0.884700347275937,0.884700347275937,0.5586468980279448,0.001,3.2258064516129026,1.1494252873563218,0.9146165437503456,0.00999999999999924,1.0,0.9146165446996329,0.4880550557044058,8.0,17.0,24.0,0.009999999999999998,1.0,0.9126976960338653,0.06085542255367038,1.7718943872465303,1.0,0.44678324054271057,1.697483024924677e-05,0.003469876261151139,0.029916196474408574,378
26,linear,0.038461538461538464,0.7908373151427008,0.8028881784629522,0.7197020141326786,0.7197020141326786,0.4779489432975109,0.5,2.7027027027027026,1.2987012987012987,0.7908373151427008,0.03846153846153765,1.0,0.790837316231878,0.40924095009185096,14.0,17.0,30.0,0.038461538461538464,1.0,0.0,0.5709003555595725,1.2153450627851177,1.0,0.4434499058409389,0.008604631968951004,0.012050863320251404,0.07113530101002219,378
27,constant,0.01,0.9111199212137715,0.9123250330622517,0.8802099670559351,0.8802099670559351,0.5479024838108449,0.5,3.1249999999999996,1.1494252873563218,0.9111199212137715,0.010000000000000215,1.0,0.9111199223079671,0.4180446380662808,8.0,17.0,24.0,0.010000000000000002,1.0,0.23241419345140457,0.28412978289790075,1.7458813355442895,1.0,0.4434499058409389,0.008604631968951004,0.001205111848480156,0.030909954157836372,406
27,linear,0.037037037037037035,0.7920422408983513,0.7975320005762667,0.7181639206730029,0.7181639206730029,0.4706453016523048,0.001,2.6315789473684212,1.2987012987012987,0.7920422408983513,0.037037037037037444,1.0,0.7920422415797305,0.48544504909152625,9.0,17.0,25.0,0.037037037037037035,1.0,0.820519581437111,0.9138996081105384,1.2911279817837147,1.0,0.44678324054271057,1.697483024924677e-05,0.005489759677915429,0.07387832022534835,406
28,constant,0.01,0.9086663168182687,0.9137578983232579,0.8756463642108084,0.8756463642108084,0.5373647161128187,0.001,3.1249999999999996,1.1494252873563218,0.9086663168182687,0.009999999999999364,1.0,0.908666318744243,0.08426342065825188,13.0,17.0,29.0,0.009999999999999998,1.0,0.0,0.984512108042352,1.8749739364545333,1.0,0.44678324054271057,1.697483024924677e-05,0.005091581504989229,0.03301995260746027,435
28,linear,0.03571428571428571,0.790197849576294,0.7959881142566495,0.7164027603463426,0.7164027603463426,0.463382584485798,0.5,2.6315789473684212,1.282051282051282,0.790197849576294,0.03571428571428546,1.0,0.7901978500852809,0.413016976270085,9.0,17.0,25.0,0.03571428571428571,1.0,0.12990000229328869,0.5868056048131528,1.2698974820925968,1.0,0.4434499058409389,0.008604631968951004,0.005790264680355484,0.07379508922995137,435
29,constant,0.01,0.9053452394008317,0.9054718941276463,0.8711077194493302,0.8711077194493302,0.5270296205167422,0.5,3.03030303030303,1.1494252873563218,0.9053452394008317,0.010000000000001162,1.0,0.9053452408655076,0.4295735422017966,8.0,17.0,24.0,0.01,1.0,0.36763013899326324,0.28559061263594626,1.8004337548517682,1.0,0.4434499058409389,0.008604631968951004,0.00012665472681461232,0.03423751995150148,465
29,linear,0.034482758620689655,0.7910525051943942,0.7961233597320422,0.7146223037407788,0.7146223037407788,0.45613409444080977,0.001,2.564102564102564,1.282051282051282,0.7910525051943942,0.03448275862069035,1.0,0.7910525060967208,0.4854115581629997,5.0,17.0,21.0,0.03448275862068964,1.0,0.843208760768175,0.6695052746387437,1.3478939766783955,1.0,0.44678324054271057,1.697483024924677e-05,0.005070854537647995,0.07643020145361534,465
30,constant,0.01,0.9026219885196797,0.9113945296086519,0.8664772152502898,0.8664772152502898,0.5168932990451612,0.5,2.9411764705882346,1.1494252873563218,0.9026219885196797,0.010000000000001041,1.0,0.9026219896108423,0.5265661449970849,11.0,17.0,27.0,0.01,1.0,0.0,0.04804156724414955,1.877358476123478,1.0,0.4434499058409389,0.008604631968951004,0.008772541088972186,0.03614477326938992,496
30,linear,0.03333333333333333,0.7892335201835659,0.7917725218906627,0.7126435122328348,0.7126435122328348,0.4490504298052897,0.5,2.564102564102564,1.2658227848101264,0.7892335201835659,0.0333333333333349,1.0,0.7892335207473954,0.4296647758365889,9.0,17.0,25.0,0.03333333333333333,1.0,0.23568946125305956,0.5180472099666851,1.324449901400076,1.0,0.4434499058409389,0.008604631968951004,0.0025390017070968662,0.07659000795073101,496
31,constant,0.01,0.8995842416839874,0.8995842416839842,0.8618320775358115,0.8618320775358115,0.5070286351589349,0.001,2.9411764705882346,1.1363636363636365,0.8995842416839874,0.009999999999999475,1.0,0.8995842416839878,0.47602641434606907,3.0,17.0,19.0,0.01,1.0,0.4760264157957863,0.2668133730144674,1.8521578669109322,1.0,0.44678324054271057,1.697483024924677e-05,-3.219646771412954e-15,0.03775216414817595,528
31,linear,0.03225806451612903,0.7896202699753009,0.7974757976740025,0.7106514950919535,0.7106514950919535,0.441965166286436,0.5,2.5,1.25,0.7896202699753009,0.03225806451613695,1.0,0.789620271326035,0.48796725120542095,16.0,17.0,32.0,0.032258064516129024,1.0,0.0,0.497189017856355,1.4013746226717851,1.0,0.4434499058409389,0.008604631968951004,0.00785552769870157,0.07896877488334741,528
32,constant,0.01,0.8965571037447803,0.9087318710085638,0.8571487263691723,0.8571487263691723,0.49738277515235574,0.5,2.857142857142857,1.1363636363636365,0.8965571037447803,0.009999999999999702,1.0,0.89655710530088,0.6120034809516661,9.0,17.0,25.0,0.01,1.0,0.0,0.3860027562529316,1.9319108954309572,1.0,0.4434499058409389,0.008604631968951004,0.012174767263783526,0.039408377375607984,561
32,linear,0.03125,0.7880004705041789,0.7888156954297995,0.7084991478267967,0.7084991478267967,0.43501733578973306,0.5,2.5,1.25,0.7880004705041789,0.03125,1.0,0.7880004711700335,0.429570148941143,9.0,17.0,25.0,0.03125,1.0,0.32056243456900113,0.4244691936079335,1.379002320707555,1.0,0.4434499058409389,0.008604631968951004,0.0008152249256205835,0.07950132267738219,561
